Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
151,278,Maha Laxmi Industries,Sanjeev Arora,Modinagar,ENGINEERING COMPONENTS & SUPPLIES
152,280,Maruti Papers Ltd.,Rajeshwar Bansal,Shamli,"PAPER, PRINTING & PUBLISHING"
153,281,Vinod Soap Factory,"Vinod Grover, Anil Kumar Grover",Bareilly,SOAP & DETERGENT
154,286,Ashoka Foods & Dehydrates Sansthan,Atul Gupta,Chaubeypur,AGRO & FOOD PROCESSING
155,289,Dhupar Chemicals,G. K. Dhupar,Chaubeypur,
156,292,Shamli Chemicals Pvt. Ltd.,Rakesh Bansal,Shamli,CHEMICAL & PETROLEUM
157,297,Kapila Krishi Udyog Ltd.,S.N. Shivhare,Chaubeypur,
158,310,Sajal Chemical Industries,"Pankaj, Praveen Katiyar",Chaubeypur,
159,330,Shamli Eye Hospital,Dr. Sunil Maheshwari,Shamli,SERVICE
160,333,Hari Enterprises,Vijay Kumar Girdhar,Deoband,ENGINEERING COMPONENTS & SUPPLIES
161,334,J.J. Enterprises,Bnarshi Parsad Aggarwal,Deoband,MISCELLANEOUS
162,337,Kansal Industries,Vijesh Kansal,Deoband,
163,339,Break Point Restaurant ,Sukhchain Walia,Shamli,SERVICE
164,340,Hindustan Metal Industries,Vihesh Mittal,Shamli,METAL
165,341,Hatti Ram Daya Chand Timber,Virendra Kumar,Shamli,MISCELLANEOUS
166,344,Raj Rim Udyog,Ved Prakash Arya,Shamli,AGRICULTURE  IMPLEMENTS  &  MACHINERY
167,345,Lakshya Industries,Vinay Goel,Shamli,MISCELLANEOUS
168,347,Sahara Polycom,Parveen Goel,Shamli,RUBBER & RUBBER PRODUCTS
169,352,ARKAY Agro ( P ) Ltd.,Sanjeev Arora,Deoria,AGRO CHEMICAL & FERTILISERS
170,353,Chemicals & Allied Products,Sanjeev Arora,Deoria,AGRO CHEMICAL & FERTILISERS
171,354,Gupta Rice Mill,Bharat Bhushan Gupta,Deoria,AGRO & FOOD PROCESSING
172,355,Ujjawal Aqua Pvt. Ltd.,Sadab Alam,Deoria,MISCELLANEOUS
173,356,Sudha Seeds,Sudha Devi,Deoria,AGRO & FOOD PROCESSING
174,357,J. P. Chemicals,J. P. Jaiswal,Deoria,CHEMICAL & PETROLEUM
175,358,J. P. Tyre Retreading Co.,J. P. Jaiswal,Deoria,RUBBER & RUBBER PRODUCTS
176,359,Anchal Bharti Printing Press,Janki Devi,Deoria,"PAPER, PRINTING & PUBLISHING"
177,360,Maa Industries,Pradeep,Deoria,METAL
178,361,Hansraj Motors,Vivek Tuli,Deoria,AUTOMOBILE & AUTO PARTS
179,362,Naval Printing Press,Vijay Joshi,Deoria,"PAPER, PRINTING & PUBLISHING"
180,363,U.P. Alluminium Industries,D.N. Mishra,Deoria,METAL
181,364,Jaiswal Furniture Udyog,Priyamda,Deoria,FURNITURE & FURNISHINGS
182,365,Jaiswal Jewellers,S. Jaiswal,Deoria,GEMS & JEWELRY
183,366,S.K. Metal Industries,Shiv Kumar Dubey,Deoria,METAL
184,367,Jaiswal Mini Floor Mill,Suman Jaiswal,Deoria,AGRO & FOOD PROCESSING
185,368,Maha Laxmi Floor Mill,Sunil Kedia,Deoria,AGRO & FOOD PROCESSING
186,369,Shakti Traders,Shiv Kumar Gupta ,Deoria,AGRO & FOOD PROCESSING
187,370,Srivastava Garments,A. Srivastava,Deoria,TEXTILE & GARMENTS
188,371,Mishra Service Station,M. Mishra,Deoria,SERVICE
189,372, ADMIR OVENS,MOHD SHAMSHAD KHAN,Ayodhya,AGRO & FOOD PROCESSING
190,375,M/s Shree Anand Food Products,Ramesh Motwani,Ayodhya,AGRO & FOOD PROCESSING
191,381,Calcutta Battery Works,Shanker Jaiswal,Ayodhya,ELECTRICAL & ELECTRONICS
192,388,J B Patel Bros,Vinod Patel,Ayodhya,CEMENT & CEMENT PRODUCTS
193,389,J R Agro Industries Ltd.,"Y K Jhunjhunwala, Dileep Kumar",Ayodhya,AGRO & FOOD PROCESSING
194,419,SG ELECTRONICS  ,Nagendra Singh,Noida,ELECTRICAL & ELECTRONICS
195,420,Inno Moulders,Sarvesh Gupta,Greater Noida,MACHINERY EQUIPMENTS
196,421,Prasar Metal Engineering Pvt. Ltd.,J.S.Rana,Greater Noida,METAL
